moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,"29.479,89 CL$",1.814 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"35.123,15 CL$",3.642 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"35.249,04 CL$",945 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.328 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"30.213,46 CL$",131 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.589 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"109.020,25 CL$",51 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"50.103,99 CL$",77 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"47.208,54 CL$",19 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"62.692,94 CL$",100 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"70.498,08 CL$",313 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"143.010,40 CL$",215 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"22.030,65 CL$",217 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"19.890,53 CL$",183 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"39.340,45 CL$",68 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,462 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"72.764,09 CL$",187 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"24.926,10 CL$",315 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"27.192,11 CL$",41 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 3 Manrique,¡Gratis!,108 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour en chiva por Medellín,¡Gratis!,167 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Jardín,Tour por la Reserva Natural Cueva del Esplendor,"30.213,46 CL$",15 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Autobús de fiesta por Medellín,"22.408,32 CL$",Sin valorar,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de la fruta colombiana por Medellín,"33.990,14 CL$",Sin valorar,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Free tour por Guatapé,¡Gratis!,14 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Los Laureles,¡Gratis!,25 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno por Medellín,"26.688,56 CL$",19 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Free tour por la finca La Manuela,¡Gratis!,Novedad,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno por la Medellín bohemia,"13.313,50 CL$",101 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Vuelo en parapente por Medellín,"123.371,65 CL$",50 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Paseo a caballo con música por las fondas de Caldas,"34.619,59 CL$",24 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión privada desde Medellín,"269.403,41 CL$",7 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Paseo en helicóptero por Guatapé,"95.675,97 CL$",9 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour en bicicleta por Medellín,"22.660,09 CL$",53 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Paseo en helicóptero por Medellín,"138.478,38 CL$",3 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión al Parque Arví,"65.462,51 CL$",23 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Visita guiada por Guatapé,"3.776,68 CL$",9 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Prácticas de tiro en Rionegro,"97.354,58 CL$",10 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Tour del café por Guatapé,"31.472,36 CL$",6 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour por la Comuna 13 y Museo de la Memoria,"55.391,35 CL$",7 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour por el Parque Explora y el Pueblito Paisa,"109.272,03 CL$",8 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour en quad por las afueras de Medellín,"107.257,80 CL$",7 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Vuelo en parapente por Guatapé,"88.122,61 CL$",4 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de la leche por los pueblos del norte de Antioquia,"47.837,98 CL$",9 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Paseo en barco privado por el embalse de Guatapé,"95.675,97 CL$",4 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Varios destinos,Rafting en el río Santo Domingo,"40.284,62 CL$",1 opinión,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Alquiler de moto de agua en el embalse de Guatapé,"50.355,77 CL$",6 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Medellín,"90.341,61 CL$",3 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Paseo en lancha pontón por el embalse de Guatapé con barbacoa,"62.944,72 CL$",2 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del cannabis por Rionegro,"80.317,46 CL$",5 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Santa Elena,"31.220,58 CL$",6 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Avistamiento de aves en Altavista,"27.192,11 CL$",4 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico en bicicleta eléctrica por Medellín,"45.320,19 CL$",5 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Alquiler de kayak en el embalse de Guatapé,"20.142,31 CL$",2 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Rafting en el río Calderas,"157.901,36 CL$",3 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Moto de agua o wakeboard en Guatapé,"88.122,61 CL$",5 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Concepción y Alejandría,"45.068,42 CL$",1 opinión,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Senderismo y tirolina en Los Saltos,"151.067,33 CL$",5 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno por el Medellín artístico,"50.355,77 CL$",5 opiniones,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Varios destinos,Senderismo acuático por el río Dormilón,"25.933,22 CL$",Sin valorar,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Paseo en helicóptero por la Comuna 13,"138.478,38 CL$",1 opinión,Civitatis,2026-01-05 16:48
CLP,https://www.civitatis.com/es/antioquia/,Guatapé,Paseo privado en helicóptero por Guatapé,"465.790,94 CL$",Sin valorar,Civitatis,2026-01-05 16:48
