moneda,pais,destino,actividad,precio,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,México,Riviera Maya,Excursión a Chichén Itzá y el cenote Chichi Kan,"71.964,77 CL$",5.230 opiniones,54.961 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,"Excursión a Chichén Itzá, Cobá y cenote Ik-Kil","146.017,37 CL$",1.007 opiniones,8.717 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Isla Contoy e Isla Mujeres,"135.499,97 CL$",760 opiniones,10.423 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Tulum y Akumal + Snorkel en cenote maya,"111.446,72 CL$",531 opiniones,6.126 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Isla Mujeres en catamarán,"47.163,23 CL$",1.770 opiniones,51.431 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Tulum y Cobá,"60.133,12 CL$",1.335 opiniones,20.964 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a la isla Holbox,"99.549,52 CL$",817 opiniones,33.829 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Entrada a Aqua Nick Riviera Maya,"159.411,73 CL$",4 opiniones,337 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Entrada a Xcaret sin colas,"125.444,77 CL$",103 opiniones,3.571 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Entrada a Jungala Aqua Experience,"49.134,75 CL$",20 opiniones,1.161 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Tarjeta eSIM Civitatis México,"4.244,69 CL$",77 opiniones,1.576 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Las Coloradas y río Lagartos,"70.933,50 CL$",71 opiniones,1.237 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Xplor,"148.318,94 CL$",75 opiniones,2.240 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Coco Bongo Playa del Carmen,"91.496,67 CL$",45 opiniones,1.096 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Nado con tortugas en la bahía de Akumal,"70.744,85 CL$",129 opiniones,1.984 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Seguro de viaje Civitatis,"20.285,38 CL$",2.844 opiniones,93.996 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Ferry a Cozumel,"15.092,23 CL$",71 opiniones,3.149 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión al Río Secreto,"112.248,50 CL$",104 opiniones,1.051 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Xcaret,"158.459,04 CL$",482 opiniones,9.694 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Cozumel,"167.164,34 CL$",38 opiniones,1.084 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Riviera Maya,Excursión a Xenotes,"141.480,27 CL$",97 opiniones,912 viajeros,https://www.civitatis.com/es/riviera-maya-destino/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,"Teotihuacán, Basílica de Guadalupe y Tlatelolco","42.842,43 CL$",2.294 opiniones,45.423 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Excursión a Teotihuacán,"40.214,06 CL$",1.353 opiniones,15.139 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,"Tour por Coyoacán, Xochimilco y la Casa Azul de Frida Kahlo","77.274,08 CL$",1.418 opiniones,48.302 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,"Excursión a Puebla, Cholula y Tonanzintla","48.729,98 CL$",872 opiniones,14.723 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Paseo en globo sobre Teotihuacán con entrada,"174.786,61 CL$",1.201 opiniones,16.539 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Free tour por Ciudad de México,¡Gratis!,2.748 opiniones,46.620 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Traslados en Ciudad de México,"42.053,92 CL$",1.736 opiniones,27.868 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Visita guiada por el Museo Frida Kahlo en grupo reducido,"73.541,79 CL$",20 opiniones,249 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Entrada a los museos de Frida Kahlo y Diego Rivera Anahuacalli,"34.694,48 CL$",75 opiniones,2.776 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Lucha libre mexicana en el Arena México,"70.965,99 CL$",133 opiniones,2.266 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Espectáculo de mariachis en la Plaza Garibaldi,"52.822,82 CL$",31 opiniones,392 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Tarjeta eSIM Civitatis México,"4.244,69 CL$",77 opiniones,1.576 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Excursión a San Miguel de Allende en grupo reducido,"78.640,83 CL$",38 opiniones,466 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Visita guiada por Ciudad de México,"15.092,23 CL$",286 opiniones,5.953 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Tour por Iztapalapa + Teleférico,"47.310,66 CL$",16 opiniones,142 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Excursión a Taxco y Cuernavaca en grupo reducido,"63.080,88 CL$",417 opiniones,7.884 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Tour por los barrios de Xochimilco y Coyoacán en grupo reducido,"57.824,14 CL$",70 opiniones,1.479 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Seguro de viaje Civitatis,"20.285,38 CL$",2.844 opiniones,93.996 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Entrada al Museo Nacional de Antropología,"11.827,66 CL$",12 opiniones,1.956 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Excursión a las grutas de Tolantongo,"77.799,75 CL$",146 opiniones,2.909 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Paseo en barco por Xochimilco,"44.385,28 CL$",130 opiniones,1.613 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Free tour de Frida Kahlo por Coyoacán,¡Gratis!,586 opiniones,22.624 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Fiesta en trajinera por Xochimilco,"40.844,87 CL$",10 opiniones,156 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Excursión en globo a Teotihuacán + Basílica de Guadalupe,"199.913,83 CL$",26 opiniones,224 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Entrada al Castillo de Chapultepec,"11.827,66 CL$",26 opiniones,928 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Free tour por las colonias Roma y Condesa,¡Gratis!,434 opiniones,9.883 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Espectáculo del Ballet Folklórico de México,"120.905,02 CL$",21 opiniones,435 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,"Free tour por el bosque de Chapultepec, la Zona Rosa y el Paseo de la Reforma",¡Gratis!,406 opiniones,12.956 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Visita guiada por el Museo Nacional de Antropología,"27.072,21 CL$",125 opiniones,2.347 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
CLP,México,Ciudad de México,Tour nocturno en autobús descapotable,"9.462,13 CL$",345 opiniones,10.693 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/,Civitatis,2026-01-12 15:05
