moneda,pais,destino,actividad,precio,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Argentina,Buenos Aires,Tour privado por Buenos Aires,"128.310,99 CL$",287 opiniones,6.156 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en el teatro Tango Porteño,"31.364,91 CL$",686 opiniones,9.782 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el centro histórico de Buenos Aires,¡Gratis!,2.413 opiniones,83.168 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango y cena en El Querandi,"47.522,59 CL$",133 opiniones,1.524 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Traslados en Buenos Aires,"16.157,68 CL$",6.373 opiniones,97.003 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Tigre en barco,"43.720,78 CL$",705 opiniones,9.641 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango en El Viejo Almacén,"47.522,59 CL$",79 opiniones,1.142 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en Madero Tango,"16.699,98 CL$",548 opiniones,9.676 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Colonia del Sacramento,"68.432,53 CL$",362 opiniones,5.494 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,"Autobús turístico de Buenos Aires, Gray Line","20.909,94 CL$",10 opiniones,466 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Autobús turístico Buenos Aires Bus,"19.959,48 CL$",869 opiniones,16.311 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entradas al Museo de la Pasión Boquense,29.464 CL$,32 opiniones,1.435 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el barrio de La Boca,¡Gratis!,2.096 opiniones,51.831 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el barrio de San Telmo,¡Gratis!,427 opiniones,19.603 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Experiencia de tango en Buenos Aires,"38.751,67 CL$",78 opiniones,603 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango en Gala Tango,"114.054,22 CL$",6 opiniones,43 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Seguro de viaje Civitatis,"20.427,67 CL$",2.838 opiniones,93.757 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por el Teatro Colón,"43.720,78 CL$",32 opiniones,616 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,"Tour del fútbol, Boca Juniors y River Plate","128.310,99 CL$",149 opiniones,2.259 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por La Recoleta,"17.820,97 CL$",780 opiniones,5.651 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Transporte a Montevideo: Ferry + Autobús,"80.788,40 CL$",73 opiniones,1.264 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el cementerio de la Recoleta,¡Gratis!,1.312 opiniones,53.805 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por el Buenos Aires político,"47.522,59 CL$",5 opiniones,16 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en Palacio Tango,33.122 CL$,71 opiniones,926 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Ferry entre Buenos Aires y Colonia del Sacramento,"68.432,53 CL$",56 opiniones,1.206 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el barrio de La Recoleta,¡Gratis!,297 opiniones,8.449 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour gastronómico por Buenos Aires,"65.581,17 CL$",35 opiniones,333 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por las librerías de Buenos Aires,"29.701,61 CL$",58 opiniones,446 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por Palermo,¡Gratis!,502 opiniones,15.545 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Paseo en barco al atardecer por el Río de la Plata,"37.542,84 CL$",182 opiniones,3.252 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por San Telmo,"9.504,51 CL$",911 opiniones,12.953 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entrada al Museo River y Estadio Monumental,"20.295,34 CL$",28 opiniones,607 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Colonia del Sacramento + Autobús turístico,"81.738,85 CL$",22 opiniones,483 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Pub Crawl ¡Tour de fiesta por Buenos Aires!,"17.108,13 CL$",62 opiniones,551 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por Puerto Madero,¡Gratis!,420 opiniones,12.773 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour alternativo por Palermo,¡Gratis!,Sin valorar,160 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por las iglesias coloniales de Buenos Aires,¡Gratis!,29 opiniones,772 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el barrio Retiro,¡Gratis!,55 opiniones,1.792 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango en La Ventana,"66.531,62 CL$",61 opiniones,1.119 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Fiesta Gaucha en la Estancia Don Silvano,"68.192,37 CL$",46 opiniones,585 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión privada a las Cataratas de Iguazú,"2.281.084,40 CL$",9 opiniones,167 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour de Eva Perón por Buenos Aires,"47.522,59 CL$",2 opiniones,24 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Montevideo en ferry directo + Taller de candombe,"232.860,70 CL$",5 opiniones,22 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en Señor Tango,"66.531,62 CL$",13 opiniones,259 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Vuelo privado en avioneta por Buenos Aires,"114.054,22 CL$",2 opiniones,25 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Taller de mate argentino,"52.274,85 CL$",42 opiniones,443 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour en bicicleta por Buenos Aires,"36.117,16 CL$",90 opiniones,1.196 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour de los misterios y leyendas del Sur de Buenos Aires,"16.157,68 CL$",39 opiniones,575 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en Aljibe Tango,"61.779,36 CL$",10 opiniones,286 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Paseo en barco por el Río de la Plata hasta La Boca,"17.108,13 CL$",78 opiniones,1.513 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour del tango por la avenida Corrientes,"70.333,43 CL$",2 opiniones,12 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,"Buenos Aires, Teatro Colón y museo MALBA","89.893,73 CL$",37 opiniones,260 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Campanópolis,"50.849,17 CL$",106 opiniones,1.242 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour nocturno por Buenos Aires,¡Gratis!,8 opiniones,683 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Fiesta Gaucha en la Estancia Santa Susana,"240.464,31 CL$",31 opiniones,469 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Paseo en velero por el río de la Plata con aperitivo,"47.522,59 CL$",39 opiniones,298 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Degustación de vinos en Puerto Madero,"42.770,33 CL$",7 opiniones,111 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por Buenos Aires + Paseo en barco,"43.720,78 CL$",4 opiniones,88 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour nocturno por La Recoleta + Espectáculo de jazz,"36.117,16 CL$",19 opiniones,137 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por el Cementerio de la Chacarita,"14.256,77 CL$",190 opiniones,3.139 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango en Esquina Homero Manzi,"52.274,85 CL$",6 opiniones,74 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo en Secreto Tango Society,"61.779,36 CL$",1 opinión,38 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour de los misterios y leyendas del Norte de Buenos Aires,"16.157,68 CL$",58 opiniones,1.580 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour nocturno por Buenos Aires,"76.036,14 CL$",6 opiniones,160 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión al Bioparque Temaikèn,"93.144,28 CL$",42 opiniones,429 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por Buenos Aires para cruceros,"49.423,49 CL$",6 opiniones,42 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour por las galerías de arte de San Telmo,"61.779,36 CL$",Sin valorar,4 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour de Maradona por Buenos Aires,"118.806,47 CL$",11 opiniones,86 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por el Museo Nacional de Bellas Artes,"20.197,10 CL$",60 opiniones,892 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entradas para Mundo Gea,"26.612,65 CL$",Sin valorar,9 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entrada a la Casa de Diego Maradona,"19.009,03 CL$",10 opiniones,151 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión de 2 días a Montevideo,"186.288,56 CL$",7 opiniones,151 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entrada al espectáculo La Bomba de Tiempo,"10.391,21 CL$",36 opiniones,754 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Excursión a Colonia del Sacramento + Alquiler de bicicleta,"93.144,28 CL$",2 opiniones,19 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Entrada al Templo del Otro Partido,"17.108,13 CL$",1 opinión,55 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por el edificio Otto Wulff,"20.909,94 CL$",3 opiniones,29 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el Parque Lezama y el Museo Histórico Nacional,¡Gratis!,29 opiniones,848 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Free tour por el santuario de Nuestra Señora de Lourdes,¡Gratis!,4 opiniones,375 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour panorámico por Buenos Aires,"114.767,05 CL$",267 opiniones,5.629 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Tour de Buenos Aires para Instagram,"45.621,68 CL$",69 opiniones,491 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Asado argentino en el barrio de Palermo,"79.837,95 CL$",28 opiniones,320 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Visita guiada por Buenos Aires,"28.513,55 CL$",13 opiniones,230 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Espectáculo de tango en Café de los Angelitos,"99.797,44 CL$",21 opiniones,379 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
CLP,Argentina,Buenos Aires,Ferry a Colonia del Sacramento + Visita a una bodega,"102.648,79 CL$",13 opiniones,227 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-09 15:05
