moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,"29.916,79 CL$",1.804 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"37.245,26 CL$",3.634 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"36.566,18 CL$",940 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"31.342,44 CL$",128 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.576 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"102.385,30 CL$",51 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"51.976,21 CL$",77 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"48.972,56 CL$",19 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"65.035,56 CL$",100 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"73.132,36 CL$",313 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"123.802,64 CL$",213 opiniones,Civitatis,2025-12-30 17:05:41
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"22.853,86 CL$",217 opiniones,Civitatis,2025-12-30 17:05:41
