moneda,pais,destino,actividad,precio,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Argentina,Buenos Aires,Tour privado por Buenos Aires,"128.380,18 CL$",284 opiniones,6.117 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo en el teatro Tango Porteño,"31.381,82 CL$",685 opiniones,9.709 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour por el centro histórico de Buenos Aires,¡Gratis!,2.397 opiniones,82.676 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo de tango y cena en El Querandi,"47.548,21 CL$",131 opiniones,1.521 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión a Tigre en barco,"43.744,35 CL$",703 opiniones,9.599 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo de tango en El Viejo Almacén,"47.548,21 CL$",79 opiniones,1.127 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Traslados en Buenos Aires,"16.166,39 CL$",6.356 opiniones,96.776 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo en Madero Tango,"16.511,19 CL$",542 opiniones,9.566 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión a Colonia del Sacramento,"68.469,43 CL$",361 opiniones,5.450 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,"Autobús turístico de Buenos Aires, Gray Line","20.921,21 CL$",8 opiniones,434 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Autobús turístico Buenos Aires Bus,"19.970,25 CL$",865 opiniones,16.229 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Entradas al Museo de la Pasión Boquense,"29.479,89 CL$",30 opiniones,1.381 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour por el barrio de La Boca,¡Gratis!,2.091 opiniones,51.551 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour por el barrio de San Telmo,¡Gratis!,422 opiniones,19.415 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Experiencia de tango en Buenos Aires,"38.943,32 CL$",78 opiniones,602 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo de tango en Gala Tango,"114.115,71 CL$",6 opiniones,43 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Seguro de viaje Civitatis,"20.528,69 CL$",2.827 opiniones,93.322 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Visita guiada por el Teatro Colón,"43.744,35 CL$",32 opiniones,604 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,"Tour del fútbol, Boca Juniors y River Plate","128.380,18 CL$",148 opiniones,2.256 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Visita guiada por La Recoleta,"17.830,58 CL$",780 opiniones,5.646 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Paseo en barco al atardecer por el Río de la Plata,"37.563,09 CL$",182 opiniones,3.242 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión a Campanópolis,"50.876,59 CL$",105 opiniones,1.240 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour por el Parque Lezama y el Museo Histórico Nacional,¡Gratis!,29 opiniones,836 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour de los misterios y leyendas del Sur de Buenos Aires,"16.166,39 CL$",39 opiniones,575 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour por las iglesias coloniales de Buenos Aires,¡Gratis!,29 opiniones,772 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Pub Crawl ¡Tour de fiesta por Buenos Aires!,"17.117,35 CL$",62 opiniones,550 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Paseo en velero por el río de la Plata con aperitivo,"47.548,21 CL$",39 opiniones,296 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour de las cúpulas de Buenos Aires,"29.717,63 CL$",24 opiniones,129 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión privada a las Cataratas de Iguazú,"2.282.314,38 CL$",9 opiniones,167 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Fiesta Gaucha en la Estancia Santa Susana,"240.593,97 CL$",31 opiniones,469 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Vuelo privado en avioneta por Buenos Aires,"114.115,71 CL$",2 opiniones,25 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Taller de mate argentino,"52.303,03 CL$",42 opiniones,442 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo en Señor Tango,"66.567,50 CL$",13 opiniones,256 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour en bicicleta por Buenos Aires,"36.136,64 CL$",87 opiniones,1.193 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo de tango en La Ventana,"66.567,50 CL$",61 opiniones,1.117 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Ferry entre Buenos Aires y Colonia del Sacramento,"68.469,43 CL$",56 opiniones,1.201 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo en Secreto Tango Society,"61.812,68 CL$",1 opinión,38 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo en Palacio Tango,"32.747,57 CL$",71 opiniones,914 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Visita guiada por San Telmo,"9.509,64 CL$",911 opiniones,12.951 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour del tango por la avenida Corrientes,"70.371,36 CL$",2 opiniones,12 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión a Colonia del Sacramento + Autobús turístico,"81.782,93 CL$",22 opiniones,478 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour por las librerías de Buenos Aires,"29.717,63 CL$",58 opiniones,443 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Free tour nocturno por Buenos Aires,¡Gratis!,7 opiniones,580 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour nocturno por La Recoleta + Espectáculo de jazz,"36.136,64 CL$",19 opiniones,137 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Transporte a Montevideo: Ferry + Autobús,"80.831,96 CL$",73 opiniones,1.264 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour de los misterios y leyendas del Norte de Buenos Aires,"16.166,39 CL$",58 opiniones,1.580 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour por el Cementerio de la Chacarita,"14.264,46 CL$",190 opiniones,3.139 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Espectáculo de tango en Esquina Homero Manzi,"52.303,03 CL$",6 opiniones,74 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Fiesta Gaucha en la Estancia Don Silvano,"67.421,47 CL$",46 opiniones,582 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour por Buenos Aires + Paseo en barco,"43.744,35 CL$",Sin valorar,88 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Entrada al espectáculo La Bomba de Tiempo,"10.273,74 CL$",36 opiniones,754 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Visita guiada por el Museo Nacional de Bellas Artes,"20.207,99 CL$",60 opiniones,892 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Tour nocturno por Buenos Aires,"76.077,14 CL$",6 opiniones,160 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
CLP,Argentina,Buenos Aires,Excursión al Bioparque Temaikèn,"93.194,50 CL$",42 opiniones,423 viajeros,https://www.civitatis.com/es/buenos-aires/,Civitatis,2026-01-05 17:52
